Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,performance,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
0,23,2017,12,0,0,3,2,1,1,1,2,80,1,0,1,2,1,0,0,2.68,0,136,100000,2,False,False,False,False,True
0,20,2020,2,1,0,4,1,0,1,1,6,90,0,0,1,2,0,1,0,2.68,0,11,50000,2,True,False,False,False,True
1,25,2015,12,1,0,1,3,0,0,1,1,90,0,0,0,1,0,1,0,2.68,0,136,20000,2,False,True,False,False,True
1,20,2020,2,1,1,3,2,0,1,1,4,90,0,0,1,2,1,0,0,2.68,0,11,30000,2,False,True,False,False,True
0,23,2018,7,0,1,3,2,0,1,1,4,40,1,1,1,2,1,0,0,2.4,0,70,60000,1,True,False,True,False,False
1,23,2018,8,0,0,4,2,1,1,1,2,90,0,0,0,1,1,1,0,2.68,0,88,50000,2,False,True,False,False,True
1,22,2020,4,1,1,4,2,0,1,1,2,90,0,0,0,2,1,0,0,2.16,0,35,40000,2,False,True,False,False,True
1,22,2018,9,1,0,8,3,0,1,1,3,90,0,0,1,2,0,1,0,2.68,0,100,40000,2,False,True,False,False,True
1,23,2018,8,1,1,5,3,0,0,1,2,5,1,0,1,2,1,1,0,2.68,0,88,12000,2,False,True,False,False,True
1,21,2020,5,0,0,5,3,0,0,1,2,97,1,0,1,4,0,1,0,0.0,0,46,50000,2,False,True,False,False,True
0,20,2020,5,0,1,2,3,0,1,1,3,80,0,0,0,3,0,0,1,1.75,1,50,50000,2,True,False,False,False,True
0,22,2019,8,0,0,4,2,0,1,0,4,90,0,0,1,2,0,0,0,2.68,0,88,10000,2,False,True,False,False,True
1,22,2018,8,0,0,2,2,0,1,1,4,90,1,0,0,0,0,1,0,2.68,0,88,50000,2,False,True,False,False,True
0,22,2019,2,1,0,3,2,1,1,1,0,92,0,1,1,3,0,0,0,2.68,0,11,100000,2,True,False,False,False,True
0,21,2018,8,0,0,6,3,1,1,1,2,100,0,0,0,1,1,1,1,2.68,0,88,30000,2,False,True,False,False,True
0,21,2019,8,1,1,2,1,0,1,1,4,88,0,0,0,3,0,0,0,2.68,0,88,40000,2,True,False,False,False,True
1,19,2020,1,1,1,1,1,0,1,1,6,95,0,0,0,1,1,0,0,2.68,0,0,50000,2,False,True,False,False,True
0,20,2018,8,0,0,3,2,0,1,1,2,98,0,0,1,2,0,0,0,2.6,0,75,500000,2,False,False,False,False,True
1,20,2020,4,1,0,7,2,0,1,1,1,90,0,0,0,9,0,1,0,3.33,0,33,40000,2,False,True,False,True,False
1,24,2017,4,0,0,3,2,0,1,1,2,90,0,0,0,2,1,1,0,4.0,0,34,40000,0,False,True,False,True,False
1,22,2020,2,1,1,6,3,0,1,1,2,100,0,0,1,3,1,0,0,3.25,0,11,30000,1,True,False,False,False,True
1,22,2018,11,1,0,1,1,0,1,1,1,100,0,0,1,2,1,0,0,3.46,0,102,40000,0,True,False,False,False,True
1,19,2020,2,1,0,1,2,0,1,1,2,85,0,0,0,1,0,1,0,3.73,0,11,20000,1,False,True,False,False,True
1,26,2014,22,0,1,3,2,1,1,1,1,100,1,0,1,5,0,0,0,2.0,0,80,25000,1,True,False,False,False,True
1,25,2017,11,1,1,2,1,0,1,1,5,80,0,0,1,2,1,1,0,3.78,0,132,20000,0,False,True,False,False,True
1,24,2015,15,1,1,6,4,0,1,1,1,100,0,0,1,2,1,0,0,3.42,0,136,50000,0,False,True,False,False,True
0,21,2017,14,0,0,4,5,1,1,1,5,95,1,0,1,1,0,1,1,3.5,0,122,15000,0,False,False,False,False,True
