Gender,Age,H.S.C passing year,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,What is your monthly family income?,Creditos_Normalizados,Semestres_Teoricos,Semestres_Reales,Semestres_Extra,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
0,24,2016,0,1,2,1,1,1,1,4,90,1,0,0,4,0,0,0,13.400,0,15.750,40000,176.100,14,10,-4,True,False,False,False,True
0,21,2020,1,0,2,4,0,1,1,1,100,0,0,1,2,1,1,0,13.400,0,15.750,10000,17.100,6,2,-4,True,False,False,False,False
1,20,2020,1,1,2,1,0,1,1,2,82,0,0,1,4,0,1,0,13.400,0,15.750,40000,56.100,8,4,-4,False,False,False,True,False
1,22,2020,1,1,1,1,0,1,1,1,90,0,0,0,0,0,0,0,13.400,0,15.750,20000,56.100,8,4,-4,False,True,False,False,True
1,20,2019,0,0,3,2,0,1,1,1,98,0,0,0,8,1,1,0,13.400,0,15.750,22000,77.900,8,5,-3,False,True,False,False,True
1,23,2017,0,1,3,2,1,1,1,1,85,1,0,1,2,0,1,1,13.400,0,15.750,45000,196.400,12,11,-1,False,True,False,False,True
0,21,2019,0,1,4,1,0,1,1,3,90,0,0,1,1,0,0,0,13.400,0,15.750,40000,137.200,10,8,-2,False,True,False,False,True
0,20,2020,1,1,2,1,0,1,1,5,90,0,0,1,1,0,0,1,13.400,0,15.750,50000,17.100,6,2,-4,False,True,False,False,True
0,22,2019,1,0,3,1,0,1,1,4,90,0,0,1,2,0,1,0,13.400,0,15.750,50000,137.200,10,8,-2,False,True,False,False,True
1,23,2017,0,0,2,4,0,1,1,6,88,1,0,1,1,0,1,0,13.400,0,15.750,30000,174.600,14,13,-1,True,False,False,True,False
1,20,2020,1,0,3,4,0,1,1,1,95,0,0,1,5,0,1,0,13.400,0,15.750,40000,17.100,6,2,-4,True,False,False,False,True
1,19,2020,1,0,1,1,0,1,0,1,95,0,0,1,1,1,0,0,17.500,0,17.900,30000,54.600,8,4,-4,False,True,False,False,True
1,21,2019,1,1,4,2,0,1,1,1,90,0,0,0,2,1,0,0,16.900,0,19.100,40000,42.100,8,4,-4,False,True,False,False,True
1,21,2019,0,0,2,2,0,1,1,1,90,1,1,1,1,0,1,0,13.400,0,15.750,30000,137.200,10,8,-2,False,True,False,False,True
0,22,2017,0,0,9,3,1,1,1,1,88,1,0,0,1,0,1,0,13.400,0,15.750,62488,176.100,12,10,-2,False,True,False,False,True
0,19,2020,1,1,3,2,0,1,1,2,100,0,0,1,3,1,0,0,13.400,0,15.750,35000,17.100,6,2,-4,True,False,False,False,True
0,22,2022,1,0,1,1,0,1,1,10,80,1,0,0,2,0,0,0,13.400,0,15.750,100000,56.100,6,4,-2,True,False,False,False,True
1,22,2018,1,0,3,2,0,1,1,3,80,0,0,1,3,0,1,0,13.400,0,15.750,30000,56.100,8,4,-4,False,True,False,False,True
